==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet18', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=6e-05, lr_scheduler='multi_step', margin=0.3, max_epoch=30, momentum=0.9, no_pretrained=True, num_instances=4, optim='sgd', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet18_30_sgd_0.00006', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet18_30_sgd_0.00006', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet18
Model size: 11.177 M
=> Start training
Epoch: [1][10/590]	Time 0.077 (1.699)	Data 0.0002 (0.0716)	Xent 6.4090 (6.3725)	Htri 0.2252 (0.2719)	Acc 0.00 (0.31)	
Epoch: [1][20/590]	Time 0.076 (0.887)	Data 0.0003 (0.0359)	Xent 6.3621 (6.3689)	Htri 0.1919 (0.2706)	Acc 0.00 (0.16)	
Epoch: [1][30/590]	Time 0.074 (0.616)	Data 0.0003 (0.0240)	Xent 6.3842 (6.3679)	Htri 0.2570 (0.3016)	Acc 0.00 (0.21)	
Epoch: [1][40/590]	Time 0.073 (0.481)	Data 0.0002 (0.0181)	Xent 6.3515 (6.3676)	Htri 0.1130 (0.3102)	Acc 0.00 (0.16)	
Epoch: [1][50/590]	Time 0.076 (0.399)	Data 0.0003 (0.0145)	Xent 6.3715 (6.3671)	Htri 0.1501 (0.3022)	Acc 0.00 (0.16)	
Epoch: [1][60/590]	Time 0.074 (0.345)	Data 0.0003 (0.0121)	Xent 6.3191 (6.3651)	Htri 0.4042 (0.3046)	Acc 0.00 (0.13)	
Epoch: [1][70/590]	Time 0.071 (0.306)	Data 0.0003 (0.0105)	Xent 6.4073 (6.3650)	Htri 0.1352 (0.2992)	Acc 0.00 (0.13)	
Epoch: [1][80/590]	Time 0.076 (0.277)	Data 0.0004 (0.0092)	Xent 6.3656 (6.3639)	Htri 0.2886 (0.2925)	Acc 0.00 (0.12)	
Epoch: [1][90/590]	Time 0.074 (0.255)	Data 0.0003 (0.0082)	Xent 6.3458 (6.3633)	Htri 0.1655 (0.2892)	Acc 0.00 (0.10)	
Epoch: [1][100/590]	Time 0.075 (0.237)	Data 0.0003 (0.0074)	Xent 6.3053 (6.3629)	Htri 0.2376 (0.2802)	Acc 0.00 (0.14)	
Epoch: [1][110/590]	Time 0.071 (0.223)	Data 0.0002 (0.0068)	Xent 6.3677 (6.3624)	Htri 0.1195 (0.2690)	Acc 0.00 (0.13)	
Epoch: [1][120/590]	Time 0.074 (0.210)	Data 0.0002 (0.0062)	Xent 6.3477 (6.3625)	Htri 0.1226 (0.2581)	Acc 0.00 (0.12)	
Epoch: [1][130/590]	Time 0.072 (0.200)	Data 0.0003 (0.0058)	Xent 6.3629 (6.3609)	Htri 0.2727 (0.2545)	Acc 0.00 (0.11)	
Epoch: [1][140/590]	Time 0.074 (0.191)	Data 0.0001 (0.0054)	Xent 6.2947 (6.3601)	Htri 0.4230 (0.2547)	Acc 0.00 (0.11)	
Epoch: [1][150/590]	Time 0.072 (0.183)	Data 0.0002 (0.0050)	Xent 6.3706 (6.3591)	Htri 0.2525 (0.2512)	Acc 0.00 (0.10)	
Epoch: [1][160/590]	Time 0.073 (0.176)	Data 0.0002 (0.0047)	Xent 6.3869 (6.3587)	Htri 0.2831 (0.2440)	Acc 0.00 (0.11)	
Epoch: [1][170/590]	Time 0.069 (0.170)	Data 0.0002 (0.0045)	Xent 6.3361 (6.3586)	Htri 0.1397 (0.2391)	Acc 1.56 (0.13)	
