==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='mobilenet_v3_small', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=6e-05, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='sgd', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_sgd_0.00006', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/mobilenet_v3_small_60_sgd_0.00006', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: mobilenet_v3_small
Model size: 0.927 M
=> Start training
Epoch: [1][10/590]	Time 0.071 (0.878)	Data 0.0002 (0.0708)	Xent 6.3343 (6.3710)	Htri 0.4147 (0.4960)	Acc 0.00 (0.00)	
Epoch: [1][20/590]	Time 0.079 (0.475)	Data 0.0003 (0.0355)	Xent 6.4051 (6.3709)	Htri 0.6885 (0.5015)	Acc 0.00 (0.08)	
Epoch: [1][30/590]	Time 0.071 (0.341)	Data 0.0001 (0.0237)	Xent 6.3897 (6.3695)	Htri 0.1448 (0.5140)	Acc 0.00 (0.10)	
Epoch: [1][40/590]	Time 0.076 (0.273)	Data 0.0003 (0.0178)	Xent 6.3912 (6.3666)	Htri 1.0935 (0.4991)	Acc 0.00 (0.08)	
Epoch: [1][50/590]	Time 0.073 (0.234)	Data 0.0002 (0.0143)	Xent 6.4091 (6.3675)	Htri 0.6594 (0.4775)	Acc 0.00 (0.09)	
Epoch: [1][60/590]	Time 0.069 (0.207)	Data 0.0002 (0.0120)	Xent 6.4037 (6.3676)	Htri 0.5993 (0.4557)	Acc 0.00 (0.13)	
Epoch: [1][70/590]	Time 0.071 (0.187)	Data 0.0003 (0.0103)	Xent 6.3425 (6.3673)	Htri 0.4668 (0.4589)	Acc 0.00 (0.13)	
Epoch: [1][80/590]	Time 0.072 (0.173)	Data 0.0002 (0.0090)	Xent 6.3760 (6.3666)	Htri 0.4278 (0.4639)	Acc 1.56 (0.14)	
Epoch: [1][90/590]	Time 0.071 (0.161)	Data 0.0003 (0.0081)	Xent 6.3738 (6.3662)	Htri 0.7871 (0.4707)	Acc 0.00 (0.12)	
Epoch: [1][100/590]	Time 0.072 (0.152)	Data 0.0002 (0.0073)	Xent 6.3389 (6.3653)	Htri 0.6414 (0.4691)	Acc 0.00 (0.12)	
Epoch: [1][110/590]	Time 0.071 (0.145)	Data 0.0002 (0.0066)	Xent 6.3554 (6.3652)	Htri 0.5385 (0.4815)	Acc 0.00 (0.11)	
Epoch: [1][120/590]	Time 0.068 (0.139)	Data 0.0002 (0.0061)	Xent 6.3654 (6.3653)	Htri 0.0000 (0.4652)	Acc 0.00 (0.12)	
Epoch: [1][130/590]	Time 0.071 (0.134)	Data 0.0002 (0.0056)	Xent 6.4142 (6.3645)	Htri 0.9366 (0.4484)	Acc 0.00 (0.11)	
